task_text,answer
поставлю себе напоминание на одиннадцать минут сегодня тогда перекину на специалиста потому что если не вернём связь то не сможем нормально пообщаться с тобой ну у нас всё равно не сработает разговор,поставлю себе напоминание на 11 минут сегодня тогда перекину на специалиста потому что если не вернём связь то не сможем нормально пообщаться с тобой ну у нас всё равно не сработает разговор
в общем могу сказать что не больше чем сейчас у вас там девять процентов или даже поменьше это сто процентов повторюсь еще раз по отдельности по характеристике все равно стоит посмотреть чтобы понять точно чтобы не ошибиться в цифрах которые я сейчас называю если есть пару минут могу связаться с вами напрямую,в общем могу сказать что не больше чем сейчас у вас там 9 процентов или даже поменьше это 100 процентов повторюсь еще раз по отдельности по характеристике все равно стоит посмотреть чтобы понять точно чтобы не ошибиться в цифрах которые я сейчас называю если есть пару минут могу связаться с вами напрямую
сноуборд ясно что это выше двухсот,сноуборд ясно что это выше 200
хорошо что бюджет позволяет начать если взять средние результаты по вашему направлению сейчас там где вы находитесь это примерно двеси,хорошо что бюджет позволяет начать если взять средние результаты по вашему направлению сейчас там где вы находитесь это примерно 200
ага то есть там получается минимальная или оптимальная сумма или двести процентов покупателей получают доставку бесплатно в минимальной сумме остальные получают скидку на эту сумму соответственно или пятьдесят процентов покупателей получают доставку бесплатно остальные скидку на эту сумму и это уже оптимальная сумма и да собственно если общались вопрос к вам пробовали ли в новом формате работать или нет,ага то есть там получается минимальная или оптимальная сумма или 200 процентов покупателей получают доставку бесплатно в минимальной сумме остальные получают скидку на эту сумму соответственно или 50 процентов покупателей получают доставку бесплатно остальные скидку на эту сумму и это уже оптимальная сумма и да собственно если общались вопрос к вам пробовали ли в новом формате работать или нет
да да я помню что вы запускали рекламу для профиля в двадцать пятом году минимальный период действия объявлений у вас составляет восемь дней,да да я помню что вы запускали рекламу для профиля в 20 пятом году минимальный период действия объявлений у вас составляет 8 дней
конечно не стоит размещать подобные объявления с мелкими деталями зачем тратить ресурсы на показы которые не приносят результата у вас же остались элементы интерьера от модели леона леон да объявление шестьдесят три рубля по нему приходят звонки и показы тоже есть,конечно не стоит размещать подобные объявления с мелкими деталями зачем тратить ресурсы на показы которые не приносят результата у вас же остались элементы интерьера от модели леона леон да объявление 63 рубля по нему приходят звонки и показы тоже есть
все участники будут работать как организация после чего требуется активировать корпоративный пакет чтобы обеспечить возможность публикации другими словами можно также связать с площадкой другими словами скопировать объявление сюда к нам это обойдется в пять тысяч девятьсот рублей как точка продаж другими словами у вас откроется виртуальный магазин с баннерами и приветственным текстом да там можно будет вписать любой,все участники будут работать как организация после чего требуется активировать корпоративный пакет чтобы обеспечить возможность публикации другими словами можно также связать с площадкой другими словами скопировать объявление сюда к нам это обойдется в 5900 рублей как точка продаж другими словами у вас откроется виртуальный магазин с баннерами и приветственным текстом да там можно будет вписать любой
да ну за прошедшие тридцать суток точно точно точно,да ну за прошедшие 30 суток точно точно точно
по количеству просмотров у нас прирост тридцать пять процентов по общему числу взаимодействий двадцать шесть в закладки плюс двадцать количество лотов вы почти не трогали плюс там один процент то есть в пределах десяти лотов все это суммируется но по числу заказанных позиций у нас сто сорок два или сто сорок три процента рост за текущий период,по количеству просмотров у нас прирост 35 процентов по общему числу взаимодействий 26 в закладки плюс 20 количество лотов вы почти не трогали плюс там 1 процент то есть в пределах 10 лотов все это суммируется но по числу заказанных позиций у нас 142 или 143 процента рост за текущий период
да ну конечно понятно вы говорите про тридцать четыре да,да ну конечно понятно вы говорите про 34 да
конечно смотрю по продавцам кроссовки саломон у вас нет объявлений подобных я не говорю что у вас просмотры ну видите самое главное не добавлять друг за другом саломон кроссовки сейчас в целом а это последняя пара размер кроссовки ну ка посмотрим нет здесь уже так восемь дней пятнадцать просмотров ну у вас размер все тогда их нет смысла двигать,конечно смотрю по продавцам кроссовки саломон у вас нет объявлений подобных я не говорю что у вас просмотры ну видите самое главное не добавлять друг за другом саломон кроссовки сейчас в целом а это последняя пара размер кроссовки ну ка посмотрим нет здесь уже так 8 дней 15 просмотров ну у вас размер все тогда их нет смысла двигать
вот пример ориентировочной цены за клик по категориям но если говорить о тех цифрах что вы приводили то я бы рекомендовала смотреть в районе рубля понятно что в зависимости от товара стоимость показа может быть разной например для какого нибудь инструмента может быть около сорок копеек а если это например какая то техника например насос для дачи которая стоит где то тридцать тыщ тогда и цена клика будет выше,вот пример ориентировочной цены за клик по категориям но если говорить о тех цифрах что вы приводили то я бы рекомендовала смотреть в районе рубля понятно что в зависимости от товара стоимость показа может быть разной например для какого нибудь инструмента может быть около 40 копеек а если это например какая то техника например насос для дачи которая стоит где то 30000 тогда и цена клика будет выше
понятно что в июле были проблемы с сигналом до двадцати четырех но в это время вы как раз отдыхали я помню точно да это совпадает,понятно что в июле были проблемы с сигналом до 24 но в это время вы как раз отдыхали я помню точно да это совпадает
вам точно точно точно там было около двести кэш рублей,вам точно точно точно там было около 200 кэш рублей
ага у вас сейчас посмотрите лимит так секунду если остаток меньше девятисот восемьдесят трёх рублей объявления скрываются действительно почему потому что алгоритмы у нас считают тариф за показы ваше объявление может одновременно просматривать несколько пользователей правильно чтобы вы не ушли в минус учитывается посещаемость площадки спрос популярность объявления и аккаунта в целом поэтому такой расчёт по лимиту поэтому нам нужно чтобы на балансе было не менее девятисот восемьдесят трёх рублей,ага у вас сейчас посмотрите лимит так секунду если остаток меньше 983 рублей объявления скрываются действительно почему потому что алгоритмы у нас считают тариф за показы ваше объявление может одновременно просматривать несколько пользователей правильно чтобы вы не ушли в минус учитывается посещаемость площадки спрос популярность объявления и аккаунта в целом поэтому такой расчёт по лимиту поэтому нам нужно чтобы на балансе было не менее 983 рублей
не всем не всем виктора разные люди двести,не всем не всем виктора разные люди 200
они остаются активными около двухсот суток после списания,они остаются активными около 200 суток после списания
там немного осталось проверьте есть ли какие нибудь неотменённые соглашения с предыдущим специалистом по двести пятьдесят штук,там немного осталось проверьте есть ли какие нибудь неотменённые соглашения с предыдущим специалистом по 250 штук
ага да да конечно единственное понимаете вот мы субботу воскресенье выходные а на следующей неделе я на пару дней в отпуск с тринадцатого по девятнадцатого давайте двадцать второго в понедельник наберу то есть через пару недель с небольшим,ага да да конечно единственное понимаете вот мы субботу воскресенье выходные а на следующей неделе я на пару дней в отпуск с 13 по 19 давайте 22 в понедельник наберу то есть через пару недель с небольшим
за тридцать дней система проверяет последние тридцать суток перед контактом с клиентом система изучает предшествующие тридцать дней подобных соперников,за 30 дней система проверяет последние 30 суток перед контактом с клиентом система изучает предшествующие 30 дней подобных соперников
у вас есть сбор три процента за отправку через юла это сбор за защищённую покупку мы как раз взимаем её с стоимости вашего товара,у вас есть сбор 3 процента за отправку через юла это сбор за защищённую покупку мы как раз взимаем её с стоимости вашего товара
в архив триста два да да,в архив 302 да да
у вас там регистрация и вот будет запись на шестнадцать сорок,у вас там регистрация и вот будет запись на 56
ладно там говорят что система ранжирования не учитывает отзывы возможно что сейчас что то изменили не уверен но в объявлениях те что популярные чаще смотрят то есть спрос есть алгоритм понимает что вы надежный клиент и как бы хорошее предприятие которому можно доверять а у вас в регионе в общей сложности восемь ну вот в майкопе как раз восемь организаций,ладно там говорят что система ранжирования не учитывает отзывы возможно что сейчас что то изменили не уверен но в объявлениях те что популярные чаще смотрят то есть спрос есть алгоритм понимает что вы надежный клиент и как бы хорошее предприятие которому можно доверять а у вас в регионе в общей сложности 8 ну вот в майкопе как раз 8 организаций
вот чтобы вы здесь не столкнулись там с какими то сложностями по подсчету цены там по определению итоговой суммы в целом у вас внизу есть такой блок который называется цена по регионам если вы на него нажмете там будет информация по каждой территории что я вам советую сделать вот там где у вас будет указан тариф это поменять с стандартного на тариф с оплатой после получения чем это удобно я допустим живу в городе екатеринбург хочу приобрести у вас там ту же автомагнитолу либо что то подобное вы говорите артур примерная цена доставки будет там не знаю допустим четыреста рублей я говорю,вот чтобы вы здесь не столкнулись там с какими то сложностями по подсчету цены там по определению итоговой суммы в целом у вас внизу есть такой блок который называется цена по регионам если вы на него нажмете там будет информация по каждой территории что я вам советую сделать вот там где у вас будет указан тариф это поменять с стандартного на тариф с оплатой после получения чем это удобно я допустим живу в городе екатеринбург хочу приобрести у вас там ту же автомагнитолу либо что то подобное вы говорите артур примерная цена доставки будет там не знаю допустим 400 рублей я говорю
да оно двадцать второго августа размещено а ну да да оно двести пятьдесят,да оно 22 августа размещено а ну да да оно 250
конечно понимаю что вы имеете в виду но в некоторых случаях теряются на самых простых моментах поэтому я с этого момента добавляю вас в программу вознаграждений которая действует с одиннадцатого по двенадцатое сентября для тех кто активно использует наши услуги ну вы сами решаете как поступать но в целом это шанс получить кэшбэк если будет где то можно подтолкнуть то конечно можно попробовать,конечно понимаю что вы имеете в виду но в некоторых случаях теряются на самых простых моментах поэтому я с этого момента добавляю вас в программу вознаграждений которая действует с 11 по двенадцатое сентября для тех кто активно использует наши услуги ну вы сами решаете как поступать но в целом это шанс получить кэшбэк если будет где то можно подтолкнуть то конечно можно попробовать
вот с компьютера вы давайте давайте вы сюда я думаю что вы за двести,вот с компьютера вы давайте давайте вы сюда я думаю что вы за 200
мы активно развиваемся в двухстах направлениях,мы активно развиваемся в двухстах направлениях
договаривались сегодня с вами на транадцать традцать договрились ли вы уже удобно ли сейчас подскажите пожалуйста,договаривались сегодня с вами на транадцать традцать договрились ли вы уже удобно ли сейчас подскажите пожалуйста
тогда нажимаем техническое устройство где клиническое вот его нажимаем вот и получается у вас вы увидите там по факту должно быть тринадцать строк почему тринадцать это вот соответствует тринадцати вашим предложениям то есть каждая строка это отдельный товар поданный вами вручную и в этой строке соответственно содержится каждая ячейка отвечает за определённое управление рекламой,тогда нажимаем техническое устройство где клиническое вот его нажимаем вот и получается у вас вы увидите там по факту должно быть 13 строк почему 13 это вот соответствует 13 вашим предложениям то есть каждая строка это отдельный товар поданный вами вручную и в этой строке соответственно содержится каждая ячейка отвечает за определённое управление рекламой
ну в общем я смотрю аккаунт значит вижу три объявления да вы понимаете правильно картинка как бы,ну в общем я смотрю аккаунт значит вижу 3 объявления да вы понимаете правильно картинка как бы
через пару дней осознал ну как вы думаете сами что можно сделать по этому вопросу тут я подпишу в общем договоримся о старте прямо через несколько дней вряд ли успею так далеко но с восемнадцатого сентября могу активировать по промо акции,через пару дней осознал ну как вы думаете сами что можно сделать по этому вопросу тут я подпишу в общем договоримся о старте прямо через несколько дней вряд ли успею так далеко но с 18 сентября могу активировать по промо акции
обратите внимание что на ваш счёт начислено пять тысяч шестьсот баллов в качестве премии,обратите внимание что на ваш счёт начислено 5600 баллов в качестве премии
ага так получается что у вас в данный момент двести восемь предложений основное направок это туфли ну по сути единственное направок вы продаете туфли если смотреть по аналитике на что стоит обратить внимание у вас сейчас сильно выросло количество обращений при этом просмотры увеличились на девять процентов а обращения выросли на двадцать один процент есть ли у вас какая то точка зрения почему так вышло возможно что то меняли,ага так получается что у вас в данный момент 208 предложений основное направок это туфли ну по сути единственное направок вы продаете туфли если смотреть по аналитике на что стоит обратить внимание у вас сейчас сильно выросло количество обращений при этом просмотры увеличились на 9 процентов а обращения выросли на 21 процент есть ли у вас какая то точка зрения почему так вышло возможно что то меняли
у элины сегодня день рождения и она пригласила двести друзей на праздник у себя дома,у элины сегодня день рождения и она пригласила 200 друзей на праздник у себя дома
смотрите апгрейд локомотив двадцать третье по шестое про апгрейд там получается с двадцать первого по двадцать третье сентября,смотрите апгрейд локомотив 20 третье по шестое про апгрейд там получается с 21 по 20 третье сентября
на бонусы в следующем месяце вы сможете потратить до девяноста девять процентов от продвижения услуги другими словами это будет сто процентный кэшбэк в помощь развитию вашего направления и бизнеса как вам такой вариант,на бонусы в следующем месяце вы сможете потратить до 99 процентов от продвижения услуги другими словами это будет 100 процентный кэшбэк в помощь развитию вашего направления и бизнеса как вам такой вариант
давайте с этого дня до тридцатого числа,давайте с этого дня до 30 числа
как вариант тарифа с оплатой за заключённую сделку двеси рублей за каждую успешную операцию,как вариант тарифа с оплатой за заключённую сделку 200 рублей за каждую успешную операцию
да да да нажмите на нее она запустит мини презентацию сразу перейдите на третий слайд там вы увидите линию модерации и сразу на третий лист,да да да нажмите на нее она запустит мини презентацию сразу перейдите на 3 слайд там вы увидите линию модерации и сразу на 3 лист
конечно помимо вот костюмов можно продавать обувь какие то сорок можеть для рыбалки охоты например,конечно помимо вот костюмов можно продавать обувь какие то 40 можеть для рыбалки охоты например
ну смотрю я думаю в общем возможно удастся у вас там две с небольшим до тридцатого числа от сегодня потратит на оплату просмотров на продвижение чтобы в следующем месяце я возмещу то есть ну не затратите то есть не станет меньше суммы то просто не смогу возместить в общем вы ничего не теряете но получить бонусы было бы классно конечно,ну смотрю я думаю в общем возможно удастся у вас там 2 с небольшим до 30 числа от сегодня потратит на оплату просмотров на продвижение чтобы в следующем месяце я возмещу то есть ну не затратите то есть не станет меньше суммы то просто не смогу возместить в общем вы ничего не теряете но получить бонусы было бы классно конечно
вы всегда можете подать жалобу на двухсот рублей,вы всегда можете подать жалобу на 200 рублей
понятно давайте тогда посмотрим если у вас нет вопросов кратко у нас сейчас для ряда клиентских записей доступна акция по возврату части средств потраченных на показы соответственно учитывая что финансирование пока невелико мы знаем что с приходом новых кампаний оно увеличится поэтому если сумма на записях на любом из них то с сегодняшнего дня на все клиентские записи действует акция составит не меньше двадцати тысяч рублей соответственно четвертью этой суммы мы компенсируем на предоплату за показы другими словами ну там рассчитывается скидка на показы у вас будет вот по этим клиентским записям,понятно давайте тогда посмотрим если у вас нет вопросов кратко у нас сейчас для ряда клиентских записей доступна акция по возврату части средств потраченных на показы соответственно учитывая что финансирование пока невелико мы знаем что с приходом новых кампаний оно увеличится поэтому если сумма на записях на любом из них то с сегодняшнего дня на все клиентские записи действует акция составит не меньше 20000 рублей соответственно четвертью этой суммы мы компенсируем на предоплату за показы другими словами ну там рассчитывается скидка на показы у вас будет вот по этим клиентским записям
